version,category,measure
baseline,recall,0.89
baseline,precision,0.486
baseline,accuracy,0.703
baseline,f1_score,0.621
version 1,recall,0.959
version 1,precision,0.692
version 1,accuracy,0.808
version 1,f1_score,0.804
version 2,recall,0.959
version 2,precision,0.724
version 2,accuracy,0.833
version 2,f1_score,0.825
version 3,recall,0.944
version 3,precision,0.673
version 3,accuracy,0.789
version 3,f1_score,0.786
version 4,recall,0.941
version 4,precision,0.695
version 4,accuracy,0.807
version 4,f1_score,0.8
version 5,recall,0.939
version 5,precision,0.686
version 5,accuracy,0.799
version 5,f1_score,0.793
version 6,recall,0.937
version 6,precision,0.707
version 6,accuracy,0.815
version 6,f1_score,0.806
version 7,recall,0.456
version 7,precision,0.76
version 7,accuracy,0.718
version 7,f1_score,0.57
version 8,recall,0.944
version 8,precision,0.766
version 8,accuracy,0.859
version 8,f1_score,0.846
version 9,recall,0.941
version 9,precision,0.772
version 9,accuracy,0.862
version 9,f1_score,0.848
