publication,pub_count
PloS one,212536
Scientific reports,115884
PNAS,96605
Nature communications,40916
Journal of immunology,35450
Cancer research,30223
Science,29531
Nature,28120
The Journal of clinical endocrinology and metabolism,26285
International journal of environmental research and public health,24271
Medicine,23388
Oncotarget,22909
Cancer,22854
The Annals of thoracic surgery,22734
IEEE Engineering in Medicine and Biology Society,22621
Neurology,21674
NeuroImage,21028
The Journal of neuroscience,20716
The American journal of cardiology,20522
BMJ open,20431
International journal of cancer,20123
The Journal of urology,19591
Oncogene,19111
Anticancer research,19073
Clinical cancer research,18886
